meet_id,event_id,result_set_id,diver_id,sheet_key,dive_order,dive_number,height,description,dd,score,net_score,round_place,optional_voluntary,judges_scores,running_total_points,diver_name,team_name,event_name,gender,discipline,round_stage,competition_family,competition_group,ncaa_division,meet_year,dive_category_code,dive_category_label,ncaa_5cat_inclusion_status,ncaa_5cat_inclusion_note
WA-4847,5b6f64d9-638f-4ec6-af40-7b03ca446e54,3abd8d45-1c15-4bf9-94c8-7ebc1f3ec42e,WA-29edadbb-b4d0-450d-924a-0fd71d0aa8b0,1891388,1,405B,3m,405B,3.0,75.0,,2.0,,J1:8.5; J2:8.5; J3:8.5; J4:8.0; J5:8.0; J6:8.5; J7:8.0,75.0,CHEN Jia,CHN,Women's 3m Springboard (Finals),Female,3m,Final,World Aquatics,World Aquatics World Cup,,2025,4,4 Inward,not_applicable,
WA-4847,5b6f64d9-638f-4ec6-af40-7b03ca446e54,3abd8d45-1c15-4bf9-94c8-7ebc1f3ec42e,WA-29edadbb-b4d0-450d-924a-0fd71d0aa8b0,1891388,2,107B,3m,107B,3.1,79.05,,1.0,,J1:8.5; J2:8.5; J3:9.0; J4:8.5; J5:8.0; J6:8.5; J7:8.5,154.05,CHEN Jia,CHN,Women's 3m Springboard (Finals),Female,3m,Final,World Aquatics,World Aquatics World Cup,,2025,1,1 Forward,not_applicable,
WA-4847,5b6f64d9-638f-4ec6-af40-7b03ca446e54,3abd8d45-1c15-4bf9-94c8-7ebc1f3ec42e,WA-29edadbb-b4d0-450d-924a-0fd71d0aa8b0,1891388,3,305B,3m,305B,3.0,76.5,,2.0,,J1:8.5; J2:8.5; J3:8.5; J4:8.0; J5:8.5; J6:8.5; J7:8.0,230.55,CHEN Jia,CHN,Women's 3m Springboard (Finals),Female,3m,Final,World Aquatics,World Aquatics World Cup,,2025,3,3 Reverse,not_applicable,
WA-4847,5b6f64d9-638f-4ec6-af40-7b03ca446e54,3abd8d45-1c15-4bf9-94c8-7ebc1f3ec42e,WA-29edadbb-b4d0-450d-924a-0fd71d0aa8b0,1891388,4,205B,3m,205B,3.0,72.0,,3.0,,J1:8.5; J2:8.0; J3:8.0; J4:7.5; J5:7.5; J6:8.0; J7:8.0,302.55,CHEN Jia,CHN,Women's 3m Springboard (Finals),Female,3m,Final,World Aquatics,World Aquatics World Cup,,2025,2,2 Back,not_applicable,
WA-4847,5b6f64d9-638f-4ec6-af40-7b03ca446e54,3abd8d45-1c15-4bf9-94c8-7ebc1f3ec42e,WA-29edadbb-b4d0-450d-924a-0fd71d0aa8b0,1891388,5,5152B,3m,5152B,3.0,78.0,,1.0,,J1:8.5; J2:9.0; J3:8.5; J4:9.0; J5:8.5; J6:8.5; J7:9.0,380.55,CHEN Jia,CHN,Women's 3m Springboard (Finals),Female,3m,Final,World Aquatics,World Aquatics World Cup,,2025,5,5 Twister,not_applicable,
WA-4847,5b6f64d9-638f-4ec6-af40-7b03ca446e54,3abd8d45-1c15-4bf9-94c8-7ebc1f3ec42e,WA-6dafbcbb-ef90-4cf4-b5f5-23134da47c96,1028322,1,405B,3m,405B,3.0,76.5,,1.0,,J1:8.0; J2:8.5; J3:8.5; J4:8.5; J5:8.5; J6:8.5; J7:9.0,76.5,CHEN Yiwen,CHN,Women's 3m Springboard (Finals),Female,3m,Final,World Aquatics,World Aquatics World Cup,,2025,4,4 Inward,not_applicable,
WA-4847,5b6f64d9-638f-4ec6-af40-7b03ca446e54,3abd8d45-1c15-4bf9-94c8-7ebc1f3ec42e,WA-6dafbcbb-ef90-4cf4-b5f5-23134da47c96,1028322,2,205B,3m,205B,3.0,76.5,,2.0,,J1:8.5; J2:9.0; J3:8.0; J4:8.5; J5:8.5; J6:8.5; J7:8.5,153.0,CHEN Yiwen,CHN,Women's 3m Springboard (Finals),Female,3m,Final,World Aquatics,World Aquatics World Cup,,2025,2,2 Back,not_applicable,
WA-4847,5b6f64d9-638f-4ec6-af40-7b03ca446e54,3abd8d45-1c15-4bf9-94c8-7ebc1f3ec42e,WA-6dafbcbb-ef90-4cf4-b5f5-23134da47c96,1028322,3,305B,3m,305B,3.0,78.0,,1.0,,J1:9.0; J2:8.5; J3:8.5; J4:9.0; J5:8.5; J6:8.5; J7:9.0,231.0,CHEN Yiwen,CHN,Women's 3m Springboard (Finals),Female,3m,Final,World Aquatics,World Aquatics World Cup,,2025,3,3 Reverse,not_applicable,
WA-4847,5b6f64d9-638f-4ec6-af40-7b03ca446e54,3abd8d45-1c15-4bf9-94c8-7ebc1f3ec42e,WA-6dafbcbb-ef90-4cf4-b5f5-23134da47c96,1028322,4,107B,3m,107B,3.1,74.4,,2.0,,J1:7.5; J2:8.0; J3:8.0; J4:8.0; J5:8.0; J6:8.0; J7:7.5,305.4,CHEN Yiwen,CHN,Women's 3m Springboard (Finals),Female,3m,Final,World Aquatics,World Aquatics World Cup,,2025,1,1 Forward,not_applicable,
WA-4847,5b6f64d9-638f-4ec6-af40-7b03ca446e54,3abd8d45-1c15-4bf9-94c8-7ebc1f3ec42e,WA-6dafbcbb-ef90-4cf4-b5f5-23134da47c96,1028322,5,5152B,3m,5152B,3.0,67.5,,3.0,,J1:7.5; J2:8.0; J3:7.5; J4:8.0; J5:7.5; J6:7.0; J7:7.5,372.9,CHEN Yiwen,CHN,Women's 3m Springboard (Finals),Female,3m,Final,World Aquatics,World Aquatics World Cup,,2025,5,5 Twister,not_applicable,
WA-4847,5b6f64d9-638f-4ec6-af40-7b03ca446e54,3abd8d45-1c15-4bf9-94c8-7ebc1f3ec42e,WA-368575e4-e59c-4391-8f3a-11a27ecd0886,1018072,1,205B,3m,205B,3.0,69.0,,3.0,,J1:7.5; J2:7.5; J3:8.0; J4:7.0; J5:8.0; J6:7.5; J7:8.0,69.0,KEENEY Maddison,AUS,Women's 3m Springboard (Finals),Female,3m,Final,World Aquatics,World Aquatics World Cup,,2025,2,2 Back,not_applicable,
